Host Name;DNS name 1;DNS name 2;State;Responsable;Critical;Priority;Type;Virt. Plataform;Fail Over Cluster or VMwware Datacenter;Business Function;Application name;Environment;Contact Team;Data center;Domain;Operating System;Time Zone;Network Adapter;MAC Address;IP Address Adapter 1;IP Address Adapter 2;IP Address Adapter 3;IP Address Adapter 4;Default Gateway;DNS Primary;DNS Secondary;SERVER MAKE;SERVER MODEL;SERVER TYPE;Console Remote Access;Service Tag (serial);Warranty end
CANSAPP180PY;CANSAPP180PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto SNC;;;;;Ubuntu 16 Linux (64-bit);;;;10.30.23.83/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP182;CANSAPP182.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Pentaho;PD;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 14 Linux (64-bit);;;;10.30.23.221/22;;;;10.30.20.1;10.30.22.140;10.30.22.138;;;;;;
CANSAPP182PY;CANSAPP182PY.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;Pentaho;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);;;;10.30.23.167/22;;;;10.30.20.1;10.30.22.139;10.30.22.140;ver;;;None;None;None
CANSAPP183;cansapp183.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto HIS;;;;;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.36/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP183DV;cansapp183dv.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto HIS;;;;;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.160/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP183PY;cansapp183py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Projeto HIS;;;;;Ubuntu 16 Linux (64-bit);(GMT-03:00) Brasilia;;;10.30.23.22/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP184;cansapp184.sa.agcocorp.com;;OPERATING;INTEROP;YES;P3;Virtual;VMware;CANOAS;Application Server;Aplicativo de Inventario de equipamentos de TI;PD;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2012 R2 Standard (64-bit);(GMT-03:00) Brasilia;;;10.30.21.215/22;;;;10.30.20.1;10.30.22.139;10.30.22.140;;;;None;None;None
CANSAPP185PY;cansapp185py.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;None;CANOAS;Application Server;Pentaho - Spoon PY;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 14 Linux (64-bit);(GMT-03:00) Brasilia;;;10.30.23.223/22;;;;10.30.20.1;10.30.22.139;10.30.22.140;;;;;;
CANSAPP186;cansapp186.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Infrastructure Server;;PD;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 14 Linux (64-bit);(GMT-03:00) Brasilia;;;10.30.20.44/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;None;None;None
CANSAPP187;cansapp187.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;PD;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.131/22;;;;10.30.20.1;10.30.22.138;;;;;None;None;None
CANSAPP188PY;cansapp188PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Puppet;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.22.222/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP189PY;cansapp189PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;GIT;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.226/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP18PP;CANSAPP18PP.sa.agcocorp.com;;OPERATING;INTEROP;YES;P2;Virtual;VMware;CANOAS;Application Server;GFAlliance, InterJDE, interface (JDE, GFAlliance);PP;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2003 Standard (32-bit);(UTC-03:00) Brasilia;;;10.30.20.193/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
CANSAPP18pp old;CANSAPP18pp.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;Unknown;PP;;AGCO BR - Canoas;sa.agcocorp.com;Windows Server 2008 R2 Standard (64-bit);(UTC-03:00) Brasilia;;;10.30.21.37;;;;10.30.20.1;10.30.22.140;10.30.22.139;;;;None;None;None
CANSAPP18PY;cansapp18py.sa.agcocorp.com;;DECOMMISSIONED;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;GF Alliance;PY;;AGCO BR - Canoas;agco_dsv.com.br;Windows Server 2003 Standard (32-bit);(GMT-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00:15:5D:14:45:83;10.30.20.246/22;;;;10.30.20.1;10.30.20.53;10.30.22.138;;;;None;None;None
CANSAPP19;None;;DECOMMISSIONED;INTEROP;YES;P5;Virtual;N/A;N/A;Application Server;Global Engineer   - Canoas;PD;;AGCO AR - General Rodriguez;sa.agcocorp.com;N/A;(UTC-03:00) Brasilia;Microsoft Virtual Machine Bus Network Adapter;00-15-5D-16-2E-3E;10.30.20.169.old;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;N/A;N/A;N/A
CANSAPP190PY;cansapp190PY.sa.agcocorp.com;;OPERATING;INTEROP;NO;P3;Virtual;VMware;CANOAS;Application Server;ELK;PY;;AGCO BR - Canoas;sa.agcocorp.com;Ubuntu 16 Linux (64-bit);(UTC-03:00) Brasilia;;;10.30.23.224/22;;;;10.30.20.1;10.30.22.139;10.30.22.138;;;;;;
